date,description,amount,category
2024-03-01,Grocery Store,85.50,Food
2024-03-02,Bus Pass,30.00,Transport
2024-03-03,Coffee Shop,12.75,Food
2024-03-04,Online Shopping,149.99,Shopping
2024-03-05,Restaurant Dinner,62.00,Food
2024-03-06,Gas Station,55.20,Transport
2024-03-07,Streaming Service,14.99,Other
2024-03-08,Supermarket,92.30,Food
2024-03-09,Taxi Ride,18.50,Transport
2024-03-10,Clothing Store,75.00,Shopping
2024-03-11,Pharmacy,25.80,Other
2024-03-12,Fast Food,9.99,Food
2024-03-13,Train Ticket,22.00,Transport
2024-03-14,Electronics Store,199.00,Shopping
2024-03-15,Gym Membership,40.00,Other
